,hotel,is_canceled,lead_time,arrival_date_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,previous_cancellations,previous_bookings_not_canceled,assigned_room_type,booking_changes,deposit_type,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status
16303,City Hotel,1,67,May,0,3,2,0,0,0,0,A,0,No Deposit,0,Transient-Party,120.0,0,0,Canceled
17344,City Hotel,1,224,June,0,2,2,0,0,0,0,A,0,No Deposit,0,Transient,107.1,0,1,Canceled
4890,Resort Hotel,0,76,January,1,3,2,0,0,0,0,A,0,No Deposit,0,Transient,37.8,0,3,Check-Out
11142,Resort Hotel,0,72,July,0,2,2,0,0,0,0,D,0,No Deposit,0,Transient,162.0,1,1,Check-Out
18700,City Hotel,1,229,July,1,4,2,0,0,0,0,A,0,Non Refund,0,Transient,110.0,0,0,Canceled
16569,City Hotel,1,85,May,1,2,2,0,0,0,0,E,0,No Deposit,0,Transient,162.0,0,0,Canceled
19740,City Hotel,1,162,August,1,1,2,0,0,0,0,A,0,Non Refund,0,Transient,140.0,0,0,Canceled
2009,Resort Hotel,1,216,May,0,2,2,0,0,0,0,D,0,No Deposit,0,Transient,54.0,0,1,Canceled
8848,Resort Hotel,0,68,April,2,5,2,0,0,0,0,A,0,No Deposit,0,Contract,68.95,0,0,Check-Out
6150,Resort Hotel,0,3,February,0,1,2,0,0,0,0,E,0,No Deposit,0,Transient,75.0,1,2,Check-Out
20027,City Hotel,1,222,August,1,5,2,0,0,0,0,A,0,No Deposit,0,Transient,99.0,0,2,Canceled
13575,City Hotel,1,38,January,0,1,1,0,0,0,0,A,0,Non Refund,0,Transient,75.0,0,0,Canceled
11123,Resort Hotel,0,0,July,0,1,2,0,0,0,0,A,0,No Deposit,0,Transient,93.0,0,0,Check-Out
7401,Resort Hotel,0,26,March,0,5,1,0,0,0,0,E,1,No Deposit,0,Transient-Party,65.0,0,0,Check-Out
16669,City Hotel,1,407,May,2,1,2,0,0,0,0,A,0,Non Refund,0,Transient,90.0,0,0,Canceled
11081,Resort Hotel,0,327,June,3,6,2,0,0,0,0,E,0,No Deposit,0,Transient,103.7,0,0,Check-Out
12474,Resort Hotel,0,1,August,0,1,2,0,0,0,0,A,0,No Deposit,0,Transient,103.2,0,2,Check-Out
18162,City Hotel,1,85,June,1,3,2,0,0,0,0,D,0,No Deposit,0,Transient,170.0,0,0,Canceled
8163,Resort Hotel,0,53,April,2,5,2,1,0,0,0,E,0,No Deposit,0,Transient,140.62,0,1,Check-Out
13018,Resort Hotel,0,56,August,1,2,2,0,0,0,0,A,0,No Deposit,0,Transient,191.6,1,0,Check-Out
19229,City Hotel,1,478,August,0,1,2,0,0,0,0,A,0,Non Refund,0,Transient,90.0,0,0,Canceled
13403,City Hotel,1,129,January,2,1,1,0,0,0,0,D,0,Non Refund,0,Transient,67.0,0,0,Canceled
12950,Resort Hotel,0,76,August,2,5,1,0,0,0,0,F,0,No Deposit,0,Transient,231.69,0,1,Check-Out
7916,Resort Hotel,0,14,April,0,1,1,0,0,0,0,A,0,No Deposit,0,Transient,76.0,1,1,Check-Out
5847,Resort Hotel,0,4,February,0,3,2,0,0,0,0,D,0,No Deposit,0,Transient,55.0,1,1,Check-Out
19796,City Hotel,1,155,August,1,0,2,2,0,0,0,F,2,No Deposit,0,Transient,235.0,0,0,Canceled
1829,Resort Hotel,1,226,May,2,5,2,0,0,0,0,D,0,No Deposit,0,Transient,76.03,0,1,Canceled
14797,City Hotel,1,44,April,2,0,2,0,0,0,0,A,0,No Deposit,0,Transient,102.6,0,0,Canceled
18922,City Hotel,1,62,July,0,1,3,0,0,0,0,D,0,No Deposit,0,Transient,200.0,0,2,Canceled
1218,Resort Hotel,1,43,April,0,2,2,0,0,0,0,A,0,No Deposit,0,Transient,105.0,0,1,Canceled
11654,Resort Hotel,0,152,July,2,3,2,2,0,0,0,C,1,No Deposit,0,Transient,188.65,0,0,Check-Out
4969,Resort Hotel,0,1,January,0,2,2,0,0,0,0,D,0,No Deposit,0,Transient,48.0,0,1,Check-Out
15827,City Hotel,1,313,April,2,6,2,0,0,0,0,A,0,No Deposit,0,Transient,109.8,0,0,Canceled
7844,Resort Hotel,0,20,April,1,0,2,0,0,0,0,A,0,No Deposit,0,Transient,48.0,0,0,Check-Out
18799,City Hotel,1,2,July,1,1,2,0,0,0,0,A,0,No Deposit,0,Transient-Party,80.0,0,1,No-Show
309,Resort Hotel,1,15,February,0,1,2,0,0,0,0,A,0,No Deposit,0,Transient,48.0,0,1,Canceled
14207,City Hotel,1,9,March,0,1,2,0,0,0,0,A,0,No Deposit,0,Transient,108.0,0,1,Canceled
1812,Resort Hotel,1,207,May,2,2,2,0,0,0,0,D,2,No Deposit,0,Transient,117.0,0,1,Canceled
847,Resort Hotel,1,39,March,0,2,2,0,0,0,0,E,0,No Deposit,0,Transient,80.0,0,1,Canceled
4226,Resort Hotel,0,1,April,0,1,2,0,0,0,0,E,0,No Deposit,0,Transient,161.0,0,1,Check-Out
18453,City Hotel,1,270,July,0,2,3,0,0,0,0,D,0,No Deposit,0,Transient,190.8,0,1,Canceled
1365,Resort Hotel,1,208,April,2,5,2,0,0,0,0,E,0,No Deposit,0,Transient,71.28,0,0,Canceled
5231,Resort Hotel,0,3,January,1,0,1,0,0,0,0,G,1,No Deposit,0,Transient,88.0,0,1,Check-Out
17160,City Hotel,1,129,June,1,2,2,0,0,0,0,A,0,Non Refund,0,Transient,130.0,0,0,Canceled
4071,Resort Hotel,0,1,May,0,1,1,0,0,2,12,E,0,No Deposit,0,Transient,75.0,1,2,Check-Out
13839,City Hotel,1,146,February,2,1,2,0,0,0,0,A,0,No Deposit,0,Transient,93.6,0,0,Canceled
14589,City Hotel,1,127,March,1,1,2,0,0,0,0,A,0,Non Refund,0,Transient,80.0,0,0,Canceled
7733,Resort Hotel,0,242,February,12,30,2,0,0,0,0,D,0,No Deposit,0,Transient,35.7,0,1,Check-Out
18284,City Hotel,1,210,July,1,5,2,0,0,0,0,A,0,No Deposit,0,Transient,89.1,0,1,Canceled
1551,Resort Hotel,1,83,May,0,4,2,0,0,0,0,E,0,No Deposit,0,Transient,147.0,0,0,Canceled
6814,Resort Hotel,0,61,February,2,5,2,0,0,0,0,D,0,No Deposit,0,Transient,65.0,1,2,Check-Out
7018,Resort Hotel,0,7,March,1,3,2,0,0,0,0,A,4,No Deposit,0,Transient-Party,37.0,0,0,Check-Out
15167,City Hotel,1,212,April,1,2,0,2,0,0,0,B,0,No Deposit,0,Transient,103.05,0,3,Canceled
18598,City Hotel,1,219,July,1,3,1,0,0,0,0,A,0,No Deposit,0,Transient,89.1,0,1,Canceled
3042,Resort Hotel,1,253,July,3,10,2,0,0,0,0,D,0,No Deposit,0,Transient,186.74,0,2,Canceled
4780,Resort Hotel,0,133,April,4,9,2,0,0,0,1,A,1,No Deposit,0,Transient,65.77,0,2,Check-Out
18951,City Hotel,1,275,July,0,5,1,0,0,0,0,A,0,No Deposit,0,Transient,83.71,0,2,Canceled
3414,Resort Hotel,1,304,August,0,2,1,0,0,0,0,A,0,No Deposit,0,Transient,167.18,0,2,Canceled
7703,Resort Hotel,0,0,March,0,1,1,0,0,0,0,A,0,No Deposit,0,Transient,35.0,0,0,Check-Out
19544,City Hotel,1,303,August,0,1,1,0,0,0,0,A,0,No Deposit,0,Transient,99.9,0,1,Canceled
14039,City Hotel,1,67,February,2,0,2,0,0,0,0,A,0,Non Refund,0,Transient,80.0,0,0,Canceled
